,Total Equity,Total Assets,Total EU interbank assets,Total nonEU interbank assets,Total Interbank Assets,Total Interbank Liabilities,Total External Assets,Total External Liabilities
DK008,14576.0,402555.0,59963.75933847051,15930.24066152949,75894.0,75894.0,326661.0,312085.0
DK009,1699.06755215671,32751.593211243,4105.393390231435,568.6066097685652,4674.0,4674.0,28077.593211243,26378.52565908629
DK010,1230.96531830684,20238.0,3547.0,123.0,3670.0,3670.0,16568.0,15337.03468169316
DK011,6633.0,175888.0,8078.0,519.0,8597.0,8597.0,167291.0,160658.0
ES059,41997.608,1223267.0,37199.74853431152,14207.483276352883,51407.2318106644,51407.2318106644,1171859.7681893357,1129862.1601893357
ES060,24939.068,540935.899999999,98599.89499999999,11874.445000000007,110474.34,110474.34,430461.559999999,405522.49199999904
ES061,13863.95,327930.429,39516.5120855748,0.0,39516.5120855748,39516.5120855748,288413.9169144252,274549.9669144252
ES062,11109.0,275856.0,5510.38682039,0.0,5510.38682039,5510.38682039,270345.61317961,259236.61317961
ES063,2656.204,54522.715,4123.50848730935,0.0,4123.50848730935,4123.50848730935,50399.206512690645,47743.00251269065
ES064,6698.78038693,129183.19,14775.0,35.0,14810.0,14810.0,114373.19,107674.40961307
ES065,3507.003,96703.239,3403.31129700301,274.7894019941,3678.10069899711,3678.10069899711,93025.1383010029,89518.1353010029
ES066,3104.0,76014.0,8053.40485650619,165.9999999999991,8219.40485650619,8219.40485650619,67794.59514349382,64690.59514349382
ES067,2848.523,73319.229,2948.49447519025,0.0,2948.49447519025,2948.49447519025,70370.73452480976,67522.21152480975
ES068,3304.324,69760.417,7659.816,0.0,7659.816,7659.816,62100.601,58796.277
ES069,1920.1196897038,53475.850975386,2140.67068966,0.0,2140.67068966,2140.67068966,51335.180285726,49415.060596022195
ES070,2076.243,45656.497,7234.7588286626,0.0,7234.7588286626,7234.7588286626,38421.738171337405,36345.4951713374
ES071,3687.565,71054.664,7419.10306708585,0.0,7419.10306708585,7419.10306708585,63635.56093291415,59947.99593291415
ES072,2299.38,42716.389,1778.53457985668,0.0,1778.53457985668,1778.53457985668,40937.854420143325,38638.47442014333
ES073,2501.485,34263.181,2598.76850863693,0.0,2598.76850863693,2598.76850863693,31664.412491363066,29162.927491363065
ES074,1395.4,31135.0,1544.0,121.0,1665.0,1665.0,29470.0,28074.6
ES075,2981.506,44627.901,1923.72708471259,0.0,1923.72708471259,1923.72708471259,42704.17391528741,39722.667915287406
ES076,1065.244,28310.371,1802.262,0.0,1802.262,1802.262,26508.109,25442.865
ES077,1934.505,20785.822,284.8185,0.0,284.8185,284.8185,20501.0035,18566.498499999998
ES078,1163.924,20143.782,1925.505,0.0,1925.505,1925.505,18218.277,17054.353
ES079,2117.0,12744.0,663.0,46.0,709.0,709.0,12035.0,9918.0
ES080,771.983,8643.625,528.492,0.0,528.492,528.492,8115.133,7343.15
ES081,56.908,931.334,74.905,0.0,74.905,74.905,856.429,799.521
ES082,20.407,350.586,1.465,0.0,1.465,1.465,349.12100000000004,328.71400000000006
ES083,1842.825,72034.165,4980.93533108483,0.0,4980.93533108483,4980.93533108483,67053.22966891517,65210.40466891517
FI012,5232.48,74722.0,5700.0,2487.0,8187.0,8187.0,66535.0,61302.520000000004
FR013,55351.747,1998157.0,53109.174677999996,37218.945586,90328.120264,90328.120264,1907828.879736,1852477.132736
FR014,46277.196,1503621.190275,71324.6085116,12388.311288269993,83712.91979987,83712.91979987,1419908.27047513,1373631.07447513
FR015,31943.2051262982,1000695.28057502,26188.13421433019,8795.201115281907,34983.3353296121,34983.3353296121,965711.9452454079,933768.7401191096
FR016,27824.0,1051322.795013,54817.555979999925,45195.30806600008,100012.864046,100012.864046,951309.9309670001,923485.9309670001
GB088,58981.7395,607351.0565,61081.4395,44424.498777447,105505.938277447,105505.938277447,501845.11822255293,442863.3787225529
GB089,86900.1646460111,1783199.31821584,60880.66738456026,151211.18244889774,212091.849833458,212091.849833458,1571107.468382382,1484207.303736371
GB090,46232.3608900426,1725709.04315,34545.22613418184,19328.054558341566,53873.2806925234,53873.2806925234,1671835.7624574767,1625603.4015674342
GB091,47983.7351147255,1006081.65188302,7172.918842027,22059.7271062739,29232.6459483009,29232.6459483009,976849.005934719,928865.2708199935
GR030,4295.917,85885.477,2953.7842189999997,884.2281840000005,3838.012403,3838.012403,82047.464597,77751.547597
